split,label_age,model_mse,b1_mse,b3_mse,b4_mse
unknown,19.0,0.0072108144,0.08966103,0.011743073,0.020390293
unknown,19.0,0.0072535253,0.09558497,0.009048128,0.032570615
unknown,25.0,0.0055423486,0.09745541,0.007823455,0.02631894
unknown,19.0,0.0076342085,0.08274971,0.019847486,0.034208395
unknown,35.0,0.0077736326,0.08969242,0.012385916,0.027639562
unknown,19.0,0.0058901943,0.093495406,0.010715312,0.019840414
unknown,25.0,0.005180942,0.10173188,0.004725027,0.035608023
unknown,25.0,0.0071722697,0.099317186,0.008431186,0.025590843
unknown,19.0,0.0073379027,0.09739136,0.007977892,0.03313811
unknown,19.0,0.009006114,0.091071635,0.009316128,0.027261904
unknown,30.0,0.01052292,0.08864615,0.035269253,0.033589866
unknown,35.0,0.005359975,0.09825892,0.021911163,0.022396754
unknown,25.0,0.008467498,0.08803638,0.008275583,0.047259778
unknown,19.0,0.0052592745,0.101073034,0.016239619,0.026755854
unknown,25.0,0.008392119,0.08701476,0.040763173,0.041805778
unknown,40.0,0.008260299,0.092049435,0.008332106,0.035009257
unknown,25.0,0.005578621,0.088811666,0.009334298,0.015731726
unknown,30.0,0.005632124,0.09554227,0.006338006,0.024986967
unknown,35.0,0.008341649,0.09262636,0.009021083,0.019201335
unknown,35.0,0.00502361,0.09728222,0.008542626,0.027490448
unknown,25.0,0.008929987,0.091406755,0.014261681,0.021080768
unknown,50.0,0.011314459,0.08164991,0.037258737,0.040958274
unknown,25.0,0.008376264,0.09426369,0.024469322,0.036727794
unknown,35.0,0.007422209,0.08406634,0.020694086,0.043120667
unknown,19.0,0.006308798,0.09597516,0.013308361,0.035854768
unknown,30.0,0.008191862,0.09563024,0.008467674,0.03398524
unknown,25.0,0.008107199,0.101180576,0.008692912,0.020638416
unknown,35.0,0.007819392,0.0825155,0.017263297,0.025782
unknown,40.0,0.0054994645,0.09784441,0.008119235,0.027915467
unknown,30.0,0.008868781,0.08294533,0.034688625,0.030251013
unknown,25.0,0.0051133344,0.098009035,0.0069180476,0.05025623
unknown,19.0,0.006969032,0.09837177,0.0076601557,0.016932255
unknown,19.0,0.007095998,0.09767603,0.0069731236,0.02334218
unknown,25.0,0.009193863,0.08651903,0.010110493,0.033932034
unknown,25.0,0.00628883,0.087686606,0.00955341,0.016550073
unknown,50.0,0.0079177655,0.08535546,0.032635428,0.034522988
unknown,25.0,0.007141424,0.08618249,0.011277403,0.02520384
unknown,19.0,0.0051476914,0.10323501,0.008123858,0.019058082
unknown,19.0,0.0059122196,0.0975933,0.013248877,0.019681467
unknown,30.0,0.006600618,0.0933814,0.012751327,0.025339115
unknown,25.0,0.0062583503,0.09467639,0.007604329,0.019559452
unknown,30.0,0.0055597285,0.090937465,0.0073497584,0.015794232
unknown,19.0,0.00791376,0.08699646,0.011032797,0.016147768
unknown,30.0,0.004547419,0.10503913,0.0052576256,0.04279887
unknown,30.0,0.009144286,0.08429176,0.013456988,0.020562086
unknown,45.0,0.011103426,0.0779713,0.038251687,0.032041166
unknown,19.0,0.007263042,0.086894505,0.007263042,0.052664176
unknown,19.0,0.0072387545,0.100692354,0.0093989605,0.020737741
unknown,25.0,0.0068900664,0.09239923,0.008004938,0.036405813
unknown,19.0,0.0074340464,0.099932395,0.0074340464,0.026874006
unknown,30.0,0.008301933,0.09492256,0.008552303,0.06719988
unknown,35.0,0.00916697,0.08428108,0.023636948,0.022789517
unknown,25.0,0.004994211,0.10250549,0.0054008276,0.023284316
unknown,35.0,0.008635326,0.09147763,0.01678015,0.03156416
unknown,19.0,0.00891858,0.08866179,0.00891858,0.027000962
unknown,30.0,0.0094932895,0.08281307,0.015171884,0.03072421
unknown,30.0,0.007082803,0.09524939,0.007258693,0.037690964
unknown,30.0,0.008187743,0.09768459,0.007917885,0.02022903
unknown,19.0,0.008162935,0.09778357,0.008788534,0.028467434
unknown,30.0,0.00968205,0.083837055,0.0319998,0.028603505
unknown,30.0,0.007972979,0.0883895,0.022421854,0.0230543
unknown,19.0,0.008580495,0.09390416,0.008105418,0.03462216
unknown,19.0,0.004980444,0.10142645,0.005127427,0.03272229
unknown,19.0,0.0057985405,0.092038274,0.016387522,0.025745714
unknown,25.0,0.008844536,0.08356713,0.008517756,0.031081736
unknown,25.0,0.0054271417,0.09604776,0.016443413,0.034780208
unknown,25.0,0.008077488,0.0860095,0.013578644,0.037897352
unknown,30.0,0.011170642,0.07527683,0.010488266,0.038360372
unknown,25.0,0.0056158174,0.095350064,0.008444174,0.017948024
unknown,19.0,0.0067989132,0.0977701,0.006709802,0.04012786
unknown,54.75068664550781,0.0070464625,0.09201968,0.025292082,0.018730482
unknown,61.852054595947266,0.0062350854,0.10146631,0.0133668175,0.01861109
unknown,53.48493194580078,0.011058711,0.09792135,0.011058711,0.027926609
unknown,43.813697814941406,0.0069694077,0.09791449,0.016789105,0.024287472
unknown,39.23561477661133,0.006336703,0.097301036,0.011004672,0.018249
unknown,56.25205612182617,0.0070208427,0.10011724,0.021565242,0.018791491
unknown,33.90958786010742,0.0062527074,0.09860739,0.02171627,0.020005114
unknown,69.14246368408203,0.0073724575,0.097248785,0.017352879,0.028666914
unknown,50.350685119628906,0.008769299,0.084201,0.022966448,0.026033118
unknown,0.0,0.0025904581,0.111416675,0.016659211,0.014302432
unknown,0.0,0.002602802,0.11106466,0.016133493,0.024147568
unknown,0.0,0.002594228,0.11166994,0.005529631,0.022873955
unknown,97.0,0.0027182729,0.107722916,0.018671896,0.02701549
unknown,91.0,0.0024199195,0.107016295,0.012589705,0.029693218
unknown,90.0,0.0021177363,0.10834094,0.006088026,0.009472604
unknown,97.0,0.0028374013,0.10723684,0.015758837,0.015973806
unknown,90.0,0.003620983,0.10950811,0.009434193,0.025878698
unknown,0.0,0.0025940028,0.10964444,0.00825951,0.025842091
unknown,89.0,0.00438724,0.10843218,0.0052384534,0.045916103
unknown,0.0,0.0028446347,0.11031179,0.002885832,0.0200663
unknown,0.0,0.0024095457,0.11119418,0.0063956403,0.022154927
unknown,0.0,0.0025627858,0.110289484,0.0026636105,0.031095797
unknown,0.0,0.0058079134,0.11304099,0.00800874,0.04114502
unknown,0.0,0.0023647272,0.11017122,0.006303963,0.013305022
unknown,0.0,0.002414381,0.11038075,0.0048578302,0.017470613
unknown,0.0,0.0024266,0.11104576,0.0021945261,0.01449846
unknown,0.0,0.0024513404,0.11110448,0.01860027,0.032019794
unknown,0.0,0.0026830889,0.11074712,0.002576314,0.029652553
unknown,0.0,0.002934308,0.10988243,0.003911869,0.036135085
